High Temp,Low Temp,Temperature Date,Temperature,New Positive Percentage Date,New Positive Percentage
63,39,4/8/2020,51,4/15/2020,0.0831
69,42,4/9/2020,55.5,4/16/2020,0.1361
64,44,4/10/2020,54,4/17/2020,0.0881
60,44,4/11/2020,52,4/18/2020,0.0841
60,37,4/12/2020,48.5,4/19/2020,0.0917
64,38,4/13/2020,51,4/20/2020,0.1271
64,42,4/14/2020,53,4/21/2020,0.0775
66,49,4/15/2020,57.5,4/22/2020,0.0758
70,44,4/16/2020,57,4/23/2020,0.0658
71,44,4/17/2020,57.5,4/24/2020,0.0686
57,48,4/18/2020,52.5,4/25/2020,0.0740
65,48,4/19/2020,56.5,4/26/2020,0.1016
67,45,4/20/2020,56,4/27/2020,0.0468
58,47,4/21/2020,52.5,4/28/2020,0.0670
54,49,4/22/2020,51.5,4/29/2020,0.0697
59,48,4/23/2020,53.5,4/30/2020,0.0558
60,47,4/24/2020,53.5,5/1/2020,0.0655
62,49,4/25/2020,55.5,5/2/2020,0.0758
62,45,4/26/2020,53.5,5/3/2020,0.0783
63,48,4/27/2020,55.5,5/4/2020,0.0507
63,45,4/28/2020,54,5/5/2020,0.0580
70,49,4/29/2020,59.5,5/6/2020,0.0563
58,47,4/30/2020,52.5,5/7/2020,0.0531
66,43,5/1/2020,54.5,5/8/2020,0.0553
58,47,5/2/2020,52.5,5/9/2020,0.0626
57,44,5/3/2020,50.5,5/10/2020,0.0808
65,39,5/4/2020,52,5/11/2020,0.0493
71,49,5/5/2020,60,5/12/2020,0.0453
62,48,5/6/2020,55,5/13/2020,0.0561
68,44,5/7/2020,56,5/14/2020,0.0630
80,50,5/8/2020,65,5/15/2020,0.0598
86,62,5/9/2020,74,5/16/2020,0.0402
87,62,5/10/2020,74.5,5/17/2020,0.0287
74,54,5/11/2020,64,5/18/2020,0.0366
65,50,5/12/2020,57.5,5/19/2020,0.0332
65,52,5/13/2020,58.5,5/20/2020,0.0201
67,50,5/14/2020,58.5,5/21/2020,0.0460
68,52,5/15/2020,60,5/22/2020,0.0605
64,54,5/16/2020,59,5/23/2020,0.0421
68,53,5/17/2020,60.5,5/24/2020,0.0214
67,50,5/18/2020,58.5,5/25/2020,0.0217
65,52,5/19/2020,58.5,5/26/2020,0.0241
59,51,5/20/2020,55,5/27/2020,0.0327
59,47,5/21/2020,53,5/28/2020,0.0311
62,47,5/22/2020,54.5,5/29/2020,0.0361
65,48,5/23/2020,56.5,5/30/2020,0.0548
,,,,,
